Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
PUT,/booking/1518,1,0,154.7382500000012,154.7382500000012,154.7382500000012,154.7382500000012,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1521,1,0,144.23845800000024,144.23845800000024,144.23845800000024,144.23845800000024,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1527,1,0,159.61987499999884,159.61987499999884,159.61987499999884,159.61987499999884,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1531,1,0,152.33024999999856,152.33024999999856,152.33024999999856,152.33024999999856,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1539,1,0,193.0733329999974,193.0733329999974,193.0733329999974,193.0733329999974,7.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
PUT,/booking/1545,1,0,171.70962500000542,171.70962500000542,171.70962500000542,171.70962500000542,150.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/1556,1,0,142.3294999999989,142.3294999999989,142.3294999999989,142.3294999999989,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/156,1,0,151.90212499999944,151.90212499999944,151.90212499999944,151.90212499999944,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1561,1,0,156.17979199999965,156.17979199999965,156.17979199999965,156.17979199999965,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1567,1,0,157.2722919999947,157.2722919999947,157.2722919999947,157.2722919999947,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1585,1,0,143.75954200000064,143.75954200000064,143.75954200000064,143.75954200000064,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1587,1,0,160.97066699999908,160.97066699999908,160.97066699999908,160.97066699999908,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1593,1,0,144.8940839999997,144.8940839999997,144.8940839999997,144.8940839999997,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1595,1,0,143.74674999999826,143.74674999999826,143.74674999999826,143.74674999999826,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1598,1,0,214.10154200000164,214.10154200000164,214.10154200000164,214.10154200000164,7.0,0.016934836038073553,0.0,210,210,210,210,210,210,210,210,210,210,210
DELETE,/booking/1600,1,0,156.00908400000435,156.00908400000435,156.00908400000435,156.00908400000435,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1607,1,0,161.7052920000006,161.7052920000006,161.7052920000006,161.7052920000006,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1609,1,0,150.00695799999875,150.00695799999875,150.00695799999875,150.00695799999875,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/161,1,0,157.32254199999574,157.32254199999574,157.32254199999574,157.32254199999574,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1610,1,0,151.78929200000013,151.78929200000013,151.78929200000013,151.78929200000013,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1618,1,0,166.1080840000011,166.1080840000011,166.1080840000011,166.1080840000011,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
